goos: windows
goarch: amd64
pkg: inmemcache
cpu: Intel(R) Core(TM) i7-14700K
                                            │ results/bench.txt │
                                            │      sec/op       │
Cache/impl=mutex/dist=uniform/mix=r100            113.1n ±   2%
Cache/impl=mutex/dist=uniform/mix=r100-2          163.8n ±   3%
Cache/impl=mutex/dist=uniform/mix=r100-4          171.2n ±   1%
Cache/impl=mutex/dist=uniform/mix=r100-8          180.2n ±   3%
Cache/impl=mutex/dist=uniform/mix=r90             113.6n ±   1%
Cache/impl=mutex/dist=uniform/mix=r90-2           170.8n ±   2%
Cache/impl=mutex/dist=uniform/mix=r90-4           182.0n ±   3%
Cache/impl=mutex/dist=uniform/mix=r90-8           189.5n ±   1%
Cache/impl=mutex/dist=uniform/mix=r50             127.4n ±   2%
Cache/impl=mutex/dist=uniform/mix=r50-2           189.5n ±   3%
Cache/impl=mutex/dist=uniform/mix=r50-4           197.3n ±   1%
Cache/impl=mutex/dist=uniform/mix=r50-8           205.0n ±   3%
Cache/impl=mutex/dist=uniform/mix=r10             143.7n ±   2%
Cache/impl=mutex/dist=uniform/mix=r10-2           215.2n ±   1%
Cache/impl=mutex/dist=uniform/mix=r10-4           220.8n ±   3%
Cache/impl=mutex/dist=uniform/mix=r10-8           227.0n ±   1%
Cache/impl=mutex/dist=zipf/mix=r100               78.08n ±   3%
Cache/impl=mutex/dist=zipf/mix=r100-2             90.77n ±   3%
Cache/impl=mutex/dist=zipf/mix=r100-4             103.8n ±   2%
Cache/impl=mutex/dist=zipf/mix=r100-8             119.4n ±   3%
Cache/impl=mutex/dist=zipf/mix=r90                81.42n ±  57%
Cache/impl=mutex/dist=zipf/mix=r90-2              98.56n ±   1%
Cache/impl=mutex/dist=zipf/mix=r90-4              112.5n ±   5%
Cache/impl=mutex/dist=zipf/mix=r90-8              129.9n ±   3%
Cache/impl=mutex/dist=zipf/mix=r50                85.50n ±   5%
Cache/impl=mutex/dist=zipf/mix=r50-2              109.9n ±   1%
Cache/impl=mutex/dist=zipf/mix=r50-4              132.6n ±   2%
Cache/impl=mutex/dist=zipf/mix=r50-8              147.9n ±   1%
Cache/impl=mutex/dist=zipf/mix=r10                90.51n ±   3%
Cache/impl=mutex/dist=zipf/mix=r10-2              112.4n ±   4%
Cache/impl=mutex/dist=zipf/mix=r10-4              133.9n ±   1%
Cache/impl=mutex/dist=zipf/mix=r10-8              150.9n ±   3%
Cache/impl=rwmutex/dist=uniform/mix=r100          111.1n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r100-2        64.71n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r100-4        50.49n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r100-8        47.62n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r90           130.0n ±   0%
Cache/impl=rwmutex/dist=uniform/mix=r90-2         297.1n ±   2%
Cache/impl=rwmutex/dist=uniform/mix=r90-4         272.9n ±   2%
Cache/impl=rwmutex/dist=uniform/mix=r90-8         288.8n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r50           137.7n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r50-2         357.8n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r50-4         305.4n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r50-8         312.7n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r10           150.6n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r10-2         258.1n ±   5%
Cache/impl=rwmutex/dist=uniform/mix=r10-4         244.1n ±   1%
Cache/impl=rwmutex/dist=uniform/mix=r10-8         245.3n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r100             77.19n ±   4%
Cache/impl=rwmutex/dist=zipf/mix=r100-2           63.55n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r100-4           59.18n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r100-8           61.76n ±   0%
Cache/impl=rwmutex/dist=zipf/mix=r90              78.53n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r90-2            204.6n ±   2%
Cache/impl=rwmutex/dist=zipf/mix=r90-4            219.6n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r90-8            231.2n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r50              85.03n ±   3%
Cache/impl=rwmutex/dist=zipf/mix=r50-2            226.9n ±   4%
Cache/impl=rwmutex/dist=zipf/mix=r50-4            222.2n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r50-8            222.2n ±   2%
Cache/impl=rwmutex/dist=zipf/mix=r10              89.70n ±   1%
Cache/impl=rwmutex/dist=zipf/mix=r10-2            150.7n ±   5%
Cache/impl=rwmutex/dist=zipf/mix=r10-4            165.1n ±   4%
Cache/impl=rwmutex/dist=zipf/mix=r10-8            168.3n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r100          266.2n ±   2%
Cache/impl=syncmap/dist=uniform/mix=r100-2        127.5n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r100-4        61.59n ±   2%
Cache/impl=syncmap/dist=uniform/mix=r100-8        31.43n ±   2%
Cache/impl=syncmap/dist=uniform/mix=r90           314.8n ±   6%
Cache/impl=syncmap/dist=uniform/mix=r90-2         150.7n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r90-4         72.47n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r90-8         37.51n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r50           430.3n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r50-2         248.3n ±   3%
Cache/impl=syncmap/dist=uniform/mix=r50-4         111.2n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r50-8         58.14n ±   1%
Cache/impl=syncmap/dist=uniform/mix=r10           720.8n ±   2%
Cache/impl=syncmap/dist=uniform/mix=r10-2         332.7n ±   2%
Cache/impl=syncmap/dist=uniform/mix=r10-4         142.6n ±   2%
Cache/impl=syncmap/dist=uniform/mix=r10-8         76.92n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r100             164.7n ±   3%
Cache/impl=syncmap/dist=zipf/mix=r100-2           72.96n ±   4%
Cache/impl=syncmap/dist=zipf/mix=r100-4           33.96n ±   1%
Cache/impl=syncmap/dist=zipf/mix=r100-8           16.29n ±   1%
Cache/impl=syncmap/dist=zipf/mix=r90              184.3n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r90-2            88.24n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r90-4            45.26n ±   1%
Cache/impl=syncmap/dist=zipf/mix=r90-8            23.77n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r50              307.0n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r50-2            151.9n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r50-4            80.84n ±   3%
Cache/impl=syncmap/dist=zipf/mix=r50-8            45.88n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r10              424.2n ±   4%
Cache/impl=syncmap/dist=zipf/mix=r10-2            208.3n ±   2%
Cache/impl=syncmap/dist=zipf/mix=r10-4            112.8n ±   3%
Cache/impl=syncmap/dist=zipf/mix=r10-8            76.95n ±  10%
Cache/impl=syncXmap/dist=uniform/mix=r100         137.3n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r100-2       65.49n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r100-4       31.06n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r100-8       15.38n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r90          149.8n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r90-2        71.69n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r90-4        34.88n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r90-8        17.58n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r50          223.0n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r50-2        105.8n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r50-4        51.65n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r50-8        26.07n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r10          289.2n ±   1%
Cache/impl=syncXmap/dist=uniform/mix=r10-2        139.3n ±   2%
Cache/impl=syncXmap/dist=uniform/mix=r10-4        70.38n ±   0%
Cache/impl=syncXmap/dist=uniform/mix=r10-8        35.55n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r100            82.52n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r100-2          37.94n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r100-4          18.10n ±   3%
Cache/impl=syncXmap/dist=zipf/mix=r100-8          9.858n ±  15%
Cache/impl=syncXmap/dist=zipf/mix=r90             91.67n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r90-2           44.27n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r90-4           21.79n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r90-8           11.22n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r50             121.7n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r50-2           64.75n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r50-4           33.99n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r50-8           20.05n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r10             158.0n ±   2%
Cache/impl=syncXmap/dist=zipf/mix=r10-2           84.06n ±   2%
Cache/impl=syncXmap/dist=zipf/mix=r10-4           46.06n ±   1%
Cache/impl=syncXmap/dist=zipf/mix=r10-8           29.52n ±   3%
Cache/impl=otter/dist=uniform/mix=r100            274.9n ±   0%
Cache/impl=otter/dist=uniform/mix=r100-2          138.2n ±   5%
Cache/impl=otter/dist=uniform/mix=r100-4          65.87n ±   6%
Cache/impl=otter/dist=uniform/mix=r100-8          31.93n ±   2%
